Map,MatchStatus,Team A score,Team B score
Mirage,L,22,25
Overpass,L,10,16
Mirage,L,12,16
Cache,L,8,16
Train,W,16,10
Mirage,L,11,16
Inferno,L,3,16
Inferno,L,1,16
Nuke,W,19,17
Mirage,L,5,16
Mirage,L,11,16
Dust2,L,6,16
Nuke,W,16,13
Train,L,5,16
Cache,W,16,11
Inferno,L,5,16
Nuke,L,12,16
Mirage,L,11,16
Train,W,16,5
Mirage,L,10,16
Nuke,L,10,16
Mirage,W,16,14
Nuke,W,16,10
Dust2,L,10,16
Nuke,L,12,16
Cache,L,7,16
Inferno,L,11,16
Mirage,W,16,4
Nuke,W,19,16
Mirage,L,10,16
Cache,W,16,14
Nuke,L,5,16
Mirage,W,16,11
Nuke,L,6,16
Mirage,L,8,16
Mirage,W,19,15
Nuke,W,16,14
Cache,L,12,16
Nuke,W,16,2
Dust2,L,11,16
Nuke,L,12,16
Cache,L,12,16
Dust2,W,22,18
Train,W,16,12
Nuke,L,7,16
Inferno,W,16,13
Cache,W,16,11
Overpass,W,19,16
Nuke,L,11,16
Dust2,L,7,16
Cache,W,16,9
Inferno,W,16,7
Cache,W,16,10
Mirage,W,16,13
Train,L,17,19
Cache,W,16,5
Mirage,L,14,16
Inferno,L,8,16
Dust2,L,3,16
Nuke,L,14,16
Train,L,4,16
Mirage,L,14,16
Inferno,L,14,16
Dust2,W,16,14
Train,W,16,0
Inferno,W,16,10
Mirage,W,19,15
Dust2,L,13,16
Cache,W,16,5
Inferno,L,3,16
Inferno,W,16,7
Train,L,2,16
Dust2,W,16,3
Cache,L,14,16
Mirage,W,22,19
Mirage,L,12,16
Inferno,L,7,16
Train,W,16,11
Mirage,L,4,16
Dust2,W,16,13
Mirage,W,16,14
Train,L,3,16
Cache,L,14,16
Mirage,L,9,16
Dust2,L,10,16
Cache,L,11,16
Cache,L,13,16
Mirage,W,16,13
Inferno,L,3,16
Dust2,W,16,10
Train,W,16,14
Inferno,L,11,16
Mirage,L,6,16
Mirage,L,13,16
Cache,W,16,5
Inferno,W,16,14
Mirage,L,5,16
Train,L,11,16
Dust2,L,7,16
Mirage,W,16,14
Train,W,16,7
Cache,L,11,16
Mirage,L,11,16
Dust2,W,16,5
Inferno,L,13,16
Cache,L,18,22
Inferno,W,16,9
Train,L,20,22
Train,W,16,9
Mirage,W,16,11
Cache,W,19,15
Inferno,W,16,14
Cache,L,12,16
Nuke,W,16,7
Train,W,16,8
Cache,L,10,16
Cache,W,16,9
Dust2,L,5,16
Mirage,L,12,16
Train,L,1,16
Inferno,L,16,19
Inferno,L,8,16
Train,L,8,16
Inferno,L,16,19
Mirage,L,18,22
Cache,L,11,16
Inferno,L,20,22
Nuke,W,16,11
Overpass,W,16,14
Mirage,L,5,16
Train,L,6,16
Nuke,L,4,16
Dust2,W,16,3
Train,W,16,8
Mirage,W,16,13
Cache,W,16,10
Mirage,W,16,14
Cache,W,19,16
Mirage,L,8,16
Train,W,16,10
Train,W,16,11
Dust2,L,14,16
Cache,W,19,15
Cache,L,10,16
Cache,L,12,16
Inferno,W,16,8
Train,L,7,16
Mirage,L,9,16
Nuke,L,11,16
Train,W,16,13
Mirage,W,19,17
Nuke,L,11,16
Dust2,L,4,16
Inferno,L,13,16
Train,L,17,19
Mirage,L,8,16
Train,L,9,16
Dust2,L,6,16
Inferno,W,16,5
Train,L,16,19
Dust2,W,16,1
Cache,W,16,14
Nuke,L,12,16
Cache,L,13,16
Train,W,16,3
Mirage,L,3,16
Inferno,W,16,14
Train,W,16,14
Mirage,L,10,16
Train,L,4,16
Inferno,L,5,16
Train,W,16,8
Mirage,W,16,2
Inferno,L,13,16
Train,L,5,16
Inferno,L,3,16
Train,L,10,16
Mirage,L,8,16
Train,W,16,13
Cobblestone,L,10,16
Nuke,W,16,10
Cache,L,2,16
Train,W,16,9
Cobblestone,L,9,16
Mirage,L,11,16
Cobblestone,L,4,16
Train,L,13,16
Mirage,W,16,8
Inferno,L,9,16
Mirage,W,16,14
Cache,W,16,11
Cobblestone,L,6,16
Mirage,W,16,7
Inferno,W,16,8
Cobblestone,L,10,16
Inferno,L,13,16
Nuke,L,14,16
Inferno,L,16,19
Mirage,W,16,6
Train,L,14,16
Cobblestone,W,16,9
Mirage,L,5,16
Mirage,W,16,5
Train,L,14,16
Inferno,W,16,8
Train,L,4,16
Cobblestone,L,4,16
Mirage,W,16,9
Cobblestone,L,15,19
Cache,W,16,13
Inferno,L,8,16
Mirage,L,13,16
Cobblestone,W,16,10
Inferno,L,5,16
Mirage,W,16,7
Mirage,W,16,14
Inferno,L,7,16
Nuke,W,16,12
Train,L,14,16
Cobblestone,W,16,2
Mirage,L,8,16
Nuke,W,16,10
Cache,W,16,14
Mirage,W,16,2
Inferno,W,16,12
Train,W,16,13
Nuke,L,1,16
Mirage,W,16,10
Cobblestone,L,12,16
Cobblestone,W,16,14
Cobblestone,W,16,13
Train,W,16,14
Train,W,16,9
Train,W,16,7
Train,L,19,22
Cache,L,14,16
Train,W,22,20
Inferno,L,8,16
Cache,L,12,16
Inferno,L,8,16
Mirage,W,16,12
Cache,L,13,16
Overpass,L,3,16
Nuke,W,16,14
Cache,W,16,12
Mirage,W,16,5
Cobblestone,L,6,16
Train,L,8,16
Nuke,L,12,16
Cache,L,3,16
Train,L,3,16
Mirage,L,6,16
Mirage,L,10,16
Inferno,L,7,16
Cobblestone,L,4,16
Nuke,W,22,19
Inferno,L,16,19
Train,W,16,5
Mirage,L,9,16
Inferno,L,7,16
Cobblestone,W,22,18
Mirage,W,16,14
Cobblestone,W,16,6
Mirage,L,7,16
Inferno,L,6,16
Cache,L,3,16
