Map,MatchStatus,Team A score,Team B score
Inferno,L,10,16
Nuke,L,10,16
Mirage,W,16,14
Vertigo,W,16,13
Inferno,W,16,5
Mirage,W,16,11
Vertigo,L,13,16
Dust2,W,16,13
Vertigo,W,16,10
Ancient,L,12,16
Nuke,L,8,16
Inferno,W,16,11
Mirage,L,12,16
Nuke,W,16,9
Nuke,L,8,16
Vertigo,L,12,16
Dust2,W,19,15
Mirage,W,16,11
Ancient,W,16,7
Dust2,W,16,12
Vertigo,W,16,12
Ancient,L,12,16
Vertigo,L,1,16
Dust2,W,16,4
Mirage,L,14,16
Inferno,L,13,16
Ancient,L,4,16
Ancient,L,14,16
Vertigo,W,16,10
Ancient,W,16,8
Nuke,L,13,16
Nuke,L,9,16
Dust2,L,13,16
Vertigo,W,16,12
Inferno,L,7,16
Dust2,W,16,14
Inferno,L,17,19
Ancient,L,12,16
Mirage,W,16,6
Inferno,W,16,14
Nuke,W,16,6
Mirage,L,10,16
Inferno,W,16,13
Vertigo,W,16,2
Dust2,L,10,16
Ancient,L,11,16
Dust2,W,19,17
Inferno,W,19,17
Mirage,L,11,16
Nuke,W,16,10
Ancient,W,16,11
Inferno,W,16,12
Mirage,W,16,14
Dust2,W,16,4
Inferno,L,16,19
Inferno,W,16,6
Ancient,W,16,11
Nuke,L,12,16
Mirage,W,16,5
Inferno,L,12,16
Ancient,W,16,9
Vertigo,L,14,16
Mirage,W,16,9
Ancient,W,16,4
Ancient,W,16,9
Mirage,W,16,13
Nuke,L,9,16
Inferno,W,16,7
Ancient,W,16,8
