Map,MatchStatus,Team A score,Team B score
Dust2,L,13,16
Vertigo,L,10,16
Nuke,L,10,16
Dust2,L,9,16
Ancient,W,16,8
Vertigo,L,14,16
Overpass,L,20,22
Nuke,W,16,8
Vertigo,W,16,12
Dust2,L,15,19
Ancient,W,22,20
Dust2,L,5,16
Vertigo,W,16,8
Inferno,W,16,10
Overpass,W,16,7
Nuke,L,12,16
Ancient,W,16,13
Vertigo,W,22,20
Dust2,L,12,16
Overpass,W,16,1
Inferno,L,9,16
Ancient,W,19,15
Overpass,W,16,11
Ancient,W,16,6
Dust2,L,14,16
Inferno,L,12,16
Nuke,L,17,19
Ancient,W,16,12
Vertigo,W,16,1
Dust2,L,4,16
Dust2,W,16,13
Ancient,W,16,5
Nuke,L,18,22
Dust2,W,16,14
Overpass,W,16,6
Inferno,L,9,16
Inferno,W,16,11
Dust2,W,16,13
Overpass,L,7,16
Inferno,L,20,22
Vertigo,W,16,11
Ancient,L,7,16
Overpass,W,25,23
Ancient,W,16,10
Vertigo,W,16,10
Overpass,L,7,16
Inferno,L,10,16
Ancient,L,16,19
Vertigo,W,16,9
Inferno,W,16,6
Ancient,W,16,10
Overpass,L,10,16
Inferno,W,16,9
Dust2,L,16,19
Ancient,W,16,13
Dust2,W,16,8
Nuke,L,13,16
Dust2,L,10,16
Vertigo,L,11,16
Ancient,L,4,16
Nuke,L,9,16
Vertigo,W,16,12
Ancient,W,16,9
Overpass,W,16,6
Overpass,L,14,16
Inferno,W,16,6
Ancient,L,8,16
Vertigo,W,16,6
Nuke,W,16,6
Vertigo,L,9,16
Inferno,L,9,16
Ancient,L,17,19
Vertigo,W,16,8
Ancient,W,25,22
Overpass,L,14,16
Vertigo,W,22,20
Inferno,L,12,16
Nuke,W,16,7
Vertigo,L,11,16
Nuke,L,10,16
Inferno,W,16,13
Overpass,L,4,16
Vertigo,L,13,16
Nuke,L,17,19
Inferno,W,16,9
Nuke,W,25,22
Vertigo,W,16,9
Overpass,L,14,16
Vertigo,L,12,16
Inferno,L,16,19
Inferno,W,16,12
Inferno,W,16,9
Overpass,L,13,16
Nuke,W,16,12
Vertigo,L,18,22
Overpass,L,5,16
Vertigo,W,16,7
Inferno,W,16,8
Inferno,W,16,8
Vertigo,W,16,5
Nuke,L,14,16
Vertigo,W,16,8
Overpass,W,16,14
Inferno,L,8,16
Vertigo,W,16,11
Nuke,L,8,16
Vertigo,L,10,16
Inferno,W,16,10
Vertigo,W,16,8
Inferno,L,10,16
Ancient,W,16,14
Mirage,L,10,16
Dust2,L,6,16
Overpass,L,14,16
Inferno,W,19,16
Vertigo,L,11,16
Nuke,W,16,13
Nuke,L,6,16
Inferno,L,14,16
Ancient,W,16,11
Vertigo,W,16,7
Dust2,W,16,11
Ancient,L,17,19
Vertigo,W,16,6
Overpass,L,11,16
Inferno,W,16,6
Ancient,W,16,14
Nuke,W,16,10
Inferno,W,22,20
Dust2,W,16,4
Ancient,L,8,16
Inferno,W,16,4
Vertigo,L,18,22
Mirage,L,5,16
Nuke,L,15,19
Dust2,L,13,16
Vertigo,L,15,19
Overpass,L,3,16
Vertigo,L,8,16
Nuke,L,12,16
Vertigo,L,11,16
Inferno,L,11,16
Inferno,L,8,16
Nuke,L,17,19
Inferno,W,16,12
Dust2,W,16,4
Vertigo,L,1,16
Vertigo,W,16,11
Dust2,W,16,8
Vertigo,W,16,6
Inferno,W,19,16
Overpass,L,3,16
Ancient,L,4,16
Dust2,L,11,16
Overpass,W,16,8
Inferno,W,16,10
Ancient,W,16,13
Vertigo,W,16,11
Overpass,L,10,16
Vertigo,W,16,14
Ancient,W,16,13
Inferno,W,16,10
Ancient,W,16,11
Vertigo,L,10,16
Inferno,W,16,12
Nuke,W,16,11
Overpass,L,3,16
Vertigo,L,8,16
Ancient,W,16,14
Inferno,W,16,8
Dust2,L,12,16
Dust2,W,16,10
Ancient,W,19,16
Inferno,W,16,7
Nuke,W,16,6
Inferno,L,5,16
Vertigo,W,16,6
Ancient,L,11,16
Mirage,W,16,4
Vertigo,W,16,12
Inferno,L,17,19
Ancient,W,16,11
Dust2,L,11,16
Mirage,W,16,12
Overpass,W,16,9
Overpass,W,16,11
Vertigo,W,16,14
Nuke,L,5,16
Ancient,L,10,16
Dust2,W,22,19
Inferno,L,10,16
Inferno,L,11,16
Overpass,W,16,8
Vertigo,L,5,16
