Map,MatchStatus,Team A score,Team B score
Dust2,L,12,16
Ancient,L,7,16
Ancient,L,9,16
Vertigo,L,9,16
Overpass,W,16,13
Vertigo,W,16,7
Overpass,W,16,12
Vertigo,L,5,16
Ancient,L,8,16
Dust2,W,16,4
Mirage,L,13,16
Dust2,L,10,16
Overpass,W,16,11
Nuke,L,14,16
Mirage,L,17,19
Ancient,L,20,22
Dust2,W,16,5
Vertigo,L,8,16
Mirage,W,19,16
Nuke,W,16,14
Ancient,L,13,16
Dust2,L,13,16
Ancient,W,16,7
Mirage,L,13,16
Ancient,L,14,16
Vertigo,L,13,16
Ancient,W,16,7
Vertigo,W,16,3
Ancient,W,16,8
Vertigo,W,16,5
Nuke,W,16,9
Mirage,L,14,16
Ancient,W,16,12
Overpass,W,16,12
Nuke,L,9,16
Ancient,W,16,12
Nuke,W,16,6
Ancient,W,16,7
Overpass,L,9,16
Nuke,L,10,16
Ancient,L,14,16
Dust2,W,16,3
Dust2,L,17,19
Overpass,L,14,16
Vertigo,W,19,15
Nuke,L,14,16
Ancient,L,22,25
Overpass,W,16,14
Vertigo,L,20,22
Ancient,L,13,16
Overpass,W,16,11
Nuke,L,16,19
Nuke,L,22,25
Vertigo,L,9,16
Overpass,W,16,14
Vertigo,W,16,12
Ancient,W,16,12
Vertigo,W,16,13
Overpass,W,16,13
Nuke,W,16,13
Dust2,W,19,17
Vertigo,L,20,22
Ancient,W,16,9
Dust2,W,16,7
Overpass,L,11,16
Nuke,L,5,16
Mirage,W,16,10
Dust2,W,16,13
Mirage,L,5,16
Overpass,L,4,16
Mirage,L,8,16
Overpass,L,13,16
Ancient,L,6,16
Vertigo,L,14,16
Ancient,W,16,5
Nuke,W,16,6
Overpass,L,9,16
Ancient,W,16,6
Vertigo,W,16,0
Ancient,W,16,14
Dust2,W,16,9
Mirage,W,16,8
Ancient,W,16,5
Overpass,W,16,8
Vertigo,W,16,9
Overpass,W,16,7
Ancient,W,16,13
Dust2,L,12,16
Mirage,L,7,16
Nuke,W,16,14
Mirage,W,16,13
Dust2,L,13,16
Ancient,W,19,17
Vertigo,L,6,16
Overpass,W,16,11
Overpass,W,16,13
Nuke,W,16,8
Ancient,L,13,16
Overpass,L,6,16
Mirage,W,16,14
Dust2,L,5,16
Vertigo,W,22,18
Mirage,W,16,5
Ancient,L,12,16
Vertigo,L,13,16
Vertigo,L,14,16
Ancient,L,7,16
Ancient,W,19,17
Overpass,W,16,13
Nuke,W,19,16
Ancient,W,16,9
Mirage,L,13,16
Dust2,L,3,16
Ancient,W,16,12
Mirage,L,10,16
Mirage,W,16,14
Ancient,W,16,10
Nuke,L,13,16
Ancient,W,16,12
Overpass,W,16,11
Nuke,W,16,4
Mirage,W,16,8
Overpass,L,13,16
Nuke,L,13,16
Mirage,L,14,16
Overpass,L,13,16
Dust2,L,12,16
Ancient,W,16,13
Ancient,W,16,5
Dust2,W,16,7
Overpass,W,16,5
Mirage,L,16,19
Ancient,W,16,13
Overpass,L,6,16
Vertigo,L,5,16
Ancient,W,16,6
Vertigo,W,16,13
Nuke,W,16,14
Vertigo,L,14,16
Ancient,W,16,7
Ancient,L,13,16
Vertigo,L,11,16
Overpass,W,16,10
Nuke,W,16,10
Mirage,W,16,12
Overpass,W,19,15
Ancient,W,16,13
Vertigo,L,4,16
Vertigo,W,16,9
Ancient,W,16,10
Nuke,L,5,16
Vertigo,W,16,5
Mirage,L,2,16
Ancient,W,16,14
Nuke,W,16,9
Dust2,L,4,16
Mirage,W,16,7
Overpass,W,16,13
Ancient,L,12,16
Vertigo,L,10,16
Ancient,W,16,5
Mirage,W,16,12
Ancient,W,16,8
Dust2,W,16,11
Mirage,L,9,16
Dust2,L,6,16
Mirage,W,16,4
Nuke,L,9,16
Ancient,W,16,14
Mirage,W,16,2
Nuke,W,16,7
Mirage,W,16,13
Mirage,W,16,14
Nuke,W,16,5
Nuke,W,16,12
Overpass,W,16,13
Vertigo,L,14,16
Overpass,W,16,8
Mirage,W,16,13
Nuke,L,9,16
Overpass,W,16,5
Mirage,W,16,6
Dust2,L,5,16
Overpass,W,16,13
Mirage,L,14,16
Ancient,L,12,16
Nuke,W,16,8
Vertigo,L,6,16
Dust2,L,8,16
Mirage,L,14,16
Vertigo,W,16,9
Vertigo,W,16,9
Mirage,W,16,4
Nuke,W,16,14
Ancient,L,10,16
Mirage,W,16,12
Dust2,W,16,6
Nuke,L,13,16
Nuke,W,19,17
Ancient,W,16,11
Nuke,L,12,16
Overpass,L,11,16
Overpass,L,12,16
Nuke,L,8,16
Overpass,L,14,16
Ancient,W,16,8
Mirage,L,8,16
Ancient,W,16,10
Ancient,W,16,11
Vertigo,L,12,16
Ancient,W,19,17
Ancient,W,16,6
Vertigo,W,16,1
Overpass,L,7,16
Vertigo,L,4,16
Mirage,L,0,16
Overpass,W,7,5
Overpass,W,10,7
Overpass,W,4,2
Overpass,L,2,4
Nuke,L,10,16
Overpass,W,16,11
Nuke,L,14,16
Nuke,W,16,13
Nuke,W,16,13
Overpass,W,16,7
Dust2,W,16,4
Mirage,W,16,4
Ancient,W,16,10
Dust2,L,5,16
Mirage,W,16,13
Vertigo,L,14,16
Nuke,W,16,14
Vertigo,W,16,6
Overpass,L,14,16
Mirage,W,16,11
Vertigo,W,16,14
Mirage,W,16,11
Ancient,W,16,11
Dust2,L,14,16
Vertigo,L,8,16
Nuke,L,18,22
Mirage,W,16,11
Dust2,L,14,16
Dust2,W,16,5
Mirage,W,16,6
Vertigo,L,10,16
Dust2,L,13,16
Overpass,L,12,16
Vertigo,L,12,16
Ancient,L,9,16
Dust2,L,14,16
Ancient,W,16,13
Overpass,W,16,14
Vertigo,W,16,8
Ancient,L,13,16
Dust2,W,19,16
Overpass,W,19,16
Mirage,W,16,11
Ancient,L,8,16
Dust2,W,16,7
Vertigo,W,16,9
Dust2,W,16,4
Ancient,W,16,3
Dust2,L,13,16
Overpass,W,16,5
Vertigo,L,7,16
Mirage,W,16,7
Dust2,L,11,16
Overpass,W,16,6
Overpass,L,11,16
Inferno,L,15,19
Dust2,W,16,6
Vertigo,L,4,16
Overpass,W,16,12
Dust2,W,16,12
Nuke,W,16,7
Dust2,L,11,16
Vertigo,L,14,16
Overpass,L,5,16
Ancient,L,12,16
Mirage,W,16,8
Dust2,W,16,5
Ancient,L,9,16
