Map,MatchStatus,Team A score,Team B score
Nuke,L,8,16
Overpass,W,16,14
Mirage,L,5,16
Nuke,L,7,16
Dust2,W,19,16
Overpass,L,10,16
Inferno,W,16,13
Mirage,W,16,12
Nuke,L,2,16
Vertigo,W,16,13
Mirage,W,25,23
Nuke,L,7,16
Vertigo,L,11,16
Nuke,W,16,10
Dust2,L,17,19
Overpass,W,19,16
Dust2,W,16,7
Overpass,W,16,9
Vertigo,W,16,7
Inferno,L,12,16
Nuke,W,16,11
Mirage,L,5,16
Nuke,W,16,14
Mirage,W,19,17
Nuke,W,16,12
Inferno,W,16,14
Mirage,L,9,16
Dust2,L,22,25
Dust2,L,14,16
Vertigo,L,6,16
Overpass,W,16,9
Inferno,W,16,12
Nuke,W,19,17
Inferno,W,16,14
Nuke,W,16,11
Vertigo,W,16,14
Dust2,W,16,8
Nuke,L,17,19
Nuke,L,11,16
Vertigo,L,13,16
Dust2,L,11,16
Vertigo,W,16,2
Dust2,L,14,16
Vertigo,W,16,4
Nuke,W,16,3
Nuke,W,16,8
Inferno,W,16,3
Dust2,W,16,14
Vertigo,W,16,14
Overpass,W,16,13
Inferno,L,12,16
Dust2,W,16,12
Dust2,L,11,16
Vertigo,W,22,20
Overpass,L,4,16
Nuke,L,9,16
Overpass,W,16,2
Nuke,L,12,16
Dust2,L,10,16
Nuke,W,16,13
Inferno,L,15,19
Inferno,W,19,16
Mirage,L,25,28
Nuke,W,16,13
Inferno,L,12,16
Mirage,W,25,21
Vertigo,L,17,19
Inferno,W,16,2
Vertigo,W,16,7
Mirage,W,16,6
Dust2,W,16,5
Vertigo,W,16,7
Dust2,W,16,9
Vertigo,W,16,1
Nuke,W,16,8
Inferno,W,16,12
Vertigo,L,12,16
Dust2,L,5,16
Inferno,L,16,19
Vertigo,W,16,7
Inferno,W,16,10
Nuke,W,16,6
Overpass,W,16,9
Vertigo,W,16,9
Mirage,L,3,16
Dust2,W,16,10
Inferno,W,16,2
Vertigo,W,16,5
Inferno,L,8,16
Dust2,L,13,16
Nuke,L,11,16
Nuke,W,16,12
Mirage,W,16,5
Vertigo,L,13,16
Vertigo,L,8,16
Inferno,L,13,16
Mirage,W,16,8
Overpass,W,16,12
Mirage,L,13,16
Vertigo,W,16,13
Vertigo,L,15,19
Inferno,L,4,16
Inferno,W,16,10
Nuke,W,19,16
Mirage,L,13,16
Nuke,L,5,16
Overpass,W,16,8
Nuke,W,16,11
Mirage,W,16,6
Mirage,W,16,10
Overpass,W,16,11
Inferno,L,9,16
Nuke,W,16,5
Vertigo,L,6,16
Inferno,W,16,3
Mirage,W,16,12
Ancient,L,12,16
Dust2,W,16,4
Overpass,W,16,8
Mirage,W,16,11
Overpass,W,16,12
Vertigo,L,25,28
Vertigo,W,16,3
Inferno,W,16,12
Dust2,W,16,8
Vertigo,L,14,16
Inferno,W,16,7
Overpass,L,12,16
Vertigo,L,14,16
Overpass,L,12,16
Vertigo,L,17,19
Dust2,W,16,9
Inferno,W,16,9
Vertigo,L,10,16
Mirage,L,13,16
Inferno,W,16,14
Nuke,W,16,7
Overpass,W,16,5
Inferno,L,7,16
Dust2,W,16,11
Inferno,W,16,14
Mirage,L,11,16
Dust2,L,5,16
Inferno,L,10,16
Inferno,W,16,7
Mirage,W,16,14
Nuke,L,9,16
Vertigo,L,16,19
Mirage,L,14,16
Overpass,L,13,16
Vertigo,W,16,4
Dust2,W,16,8
Nuke,W,16,7
Vertigo,W,16,7
Nuke,W,16,4
Mirage,W,16,7
Vertigo,W,16,9
Inferno,W,16,6
Dust2,W,16,10
Mirage,W,16,7
Overpass,W,19,17
Inferno,L,12,16
Nuke,L,11,16
Nuke,W,16,7
Inferno,W,16,12
Vertigo,W,16,3
Inferno,W,16,9
Inferno,L,7,16
Nuke,L,6,16
Vertigo,L,9,16
Inferno,L,14,16
Mirage,W,16,8
Vertigo,W,16,11
Dust2,W,16,6
Nuke,W,16,12
Vertigo,L,11,16
Dust2,W,16,12
Mirage,L,23,25
Overpass,L,7,16
Inferno,L,2,16
Vertigo,W,16,13
Vertigo,W,16,8
Inferno,L,13,16
Mirage,W,16,6
Mirage,W,16,9
Dust2,W,16,6
Vertigo,W,16,12
Nuke,W,16,10
Inferno,W,16,11
Overpass,L,8,16
Vertigo,W,16,5
Vertigo,W,16,10
Mirage,W,16,8
Dust2,W,16,14
Overpass,L,13,16
Inferno,W,19,16
Nuke,W,16,2
Inferno,W,16,8
Mirage,W,16,5
Overpass,W,16,1
Overpass,W,16,5
Vertigo,W,16,6
Inferno,L,6,16
Mirage,W,16,14
Nuke,L,9,16
Mirage,L,13,16
Nuke,L,14,16
Inferno,L,8,16
Overpass,W,16,13
Vertigo,L,9,16
Nuke,L,15,19
Overpass,L,10,16
Nuke,L,14,16
Vertigo,L,4,16
Mirage,L,10,16
Nuke,L,16,19
Dust2,W,16,14
Inferno,L,6,16
Nuke,W,16,12
Overpass,W,16,7
Overpass,W,16,10
Mirage,L,12,16
Nuke,W,16,13
Inferno,L,4,16
Overpass,L,10,16
Inferno,L,14,16
Overpass,W,16,8
Dust2,L,11,16
Dust2,W,16,14
Mirage,W,16,10
Nuke,W,16,5
Inferno,W,16,8
Vertigo,W,22,20
Nuke,W,16,10
Overpass,L,7,16
Dust2,L,4,16
Inferno,W,16,3
Vertigo,W,16,4
Nuke,L,14,16
Vertigo,L,6,16
Overpass,W,16,14
Dust2,W,16,13
Inferno,W,16,12
Mirage,L,12,16
Overpass,W,22,20
Vertigo,W,16,9
Nuke,W,16,5
Vertigo,W,16,3
Inferno,W,19,17
Nuke,L,9,16
Dust2,W,16,12
Mirage,L,11,16
Vertigo,L,13,16
Vertigo,L,9,16
Nuke,L,7,16
Dust2,W,16,5
Inferno,L,14,16
Vertigo,W,16,9
Vertigo,L,13,16
Dust2,L,13,16
Dust2,W,16,12
Inferno,L,2,16
Inferno,L,11,16
Mirage,L,11,16
Dust2,W,16,14
Dust2,W,16,7
Inferno,W,16,11
Inferno,W,16,12
Mirage,L,14,16
Vertigo,W,16,5
Inferno,W,16,5
Dust2,W,16,11
Inferno,W,16,5
Dust2,W,16,10
