Map,MatchStatus,Team A score,Team B score
Nuke,L,13,16
Inferno,W,16,8
Dust2,L,13,16
Dust2,W,16,5
Ancient,W,16,13
Inferno,L,7,16
Mirage,W,16,9
Inferno,W,16,8
Dust2,L,10,16
Mirage,L,5,16
Vertigo,L,17,19
Inferno,W,16,13
Inferno,W,16,14
Dust2,W,16,7
Vertigo,W,16,10
Dust2,L,10,16
Nuke,W,16,5
Nuke,L,14,16
Dust2,L,14,16
Nuke,W,16,5
Ancient,L,11,16
Inferno,W,16,14
Vertigo,L,12,16
Dust2,W,16,11
Vertigo,L,10,16
Inferno,W,16,10
Vertigo,L,17,19
Mirage,W,16,12
Mirage,L,17,19
Mirage,W,16,9
Ancient,L,16,19
Dust2,W,16,7
Dust2,W,19,17
Inferno,W,16,6
Vertigo,W,19,17
Ancient,L,7,16
Dust2,W,16,10
Dust2,W,16,10
Inferno,W,16,10
Mirage,L,16,19
Inferno,W,16,10
Vertigo,W,16,4
Nuke,L,13,16
Dust2,L,17,19
Vertigo,W,22,20
Mirage,L,7,16
Dust2,L,2,16
Inferno,W,16,14
Mirage,L,17,19
Nuke,L,12,16
Inferno,W,16,12
Dust2,W,16,5
Dust2,L,14,16
Mirage,L,27,31
Inferno,L,15,19
Mirage,W,16,13
Inferno,W,16,12
Ancient,W,16,5
Mirage,W,25,22
Inferno,W,16,1
Dust2,W,16,5
Ancient,L,12,16
Inferno,W,16,10
Mirage,L,13,16
Nuke,W,16,13
Mirage,W,16,5
Vertigo,W,16,8
Inferno,L,11,16
Mirage,L,7,16
Nuke,W,16,2
Inferno,W,16,6
Ancient,W,16,5
Dust2,L,12,16
Mirage,W,16,4
Inferno,L,10,16
Mirage,W,22,19
Inferno,W,16,6
Nuke,W,16,12
Mirage,L,4,16
Inferno,W,22,19
Nuke,L,14,16
Mirage,L,13,16
Nuke,L,10,16
Inferno,W,16,14
Dust2,W,16,11
Nuke,L,11,16
Inferno,L,14,16
Dust2,W,16,10
Nuke,L,16,19
Inferno,W,16,9
Mirage,W,16,14
Vertigo,L,14,16
Dust2,W,16,14
Vertigo,W,16,13
Mirage,W,16,13
Nuke,L,19,22
Ancient,L,11,16
Inferno,W,19,15
Mirage,W,16,10
Nuke,L,12,16
Mirage,W,16,11
Inferno,W,16,11
Dust2,W,16,8
Mirage,W,16,14
Mirage,W,16,7
Ancient,W,16,11
Cobblestone,W,16,13
Tuscan,W,13,11
Train,W,13,1
Cobblestone,W,13,9
Cache,L,11,13
Inferno,L,17,19
Mirage,L,16,19
Ancient,W,16,4
Nuke,W,16,8
Inferno,W,16,10
Vertigo,L,14,16
Ancient,L,14,16
Vertigo,L,8,16
Mirage,W,16,10
Mirage,W,16,2
Nuke,W,16,12
Dust2,L,18,22
Nuke,W,16,7
Mirage,L,8,16
Mirage,W,16,10
Inferno,W,16,10
Nuke,L,16,19
Nuke,W,16,8
Mirage,W,16,1
Inferno,L,17,19
Dust2,L,12,16
Inferno,L,9,16
Mirage,L,14,16
Ancient,W,16,7
Inferno,W,16,7
Mirage,W,16,11
Vertigo,L,7,16
Mirage,L,11,16
Dust2,W,16,11
Nuke,L,7,16
Mirage,L,14,16
Dust2,L,13,16
Mirage,L,12,16
Vertigo,W,16,13
Inferno,L,5,16
Mirage,L,10,16
Mirage,L,9,16
Inferno,W,16,10
Vertigo,L,11,16
Nuke,L,13,16
Mirage,L,14,16
Dust2,L,11,16
Inferno,W,16,14
Dust2,L,12,16
Nuke,W,16,6
Inferno,W,16,14
Vertigo,L,10,16
Mirage,W,16,13
Inferno,W,16,4
Mirage,W,16,1
Dust2,L,8,16
Dust2,W,16,6
Vertigo,W,16,14
Nuke,L,13,16
