Map,MatchStatus,Team A score,Team B score
Vertigo,W,16,14
Overpass,W,16,14
Inferno,L,9,16
Nuke,W,16,11
Inferno,W,16,5
Nuke,W,16,3
Nuke,W,16,0
Mirage,L,11,16
Vertigo,L,14,16
Overpass,W,16,8
Ancient,W,16,9
Ancient,W,16,9
Vertigo,W,16,9
Overpass,L,13,16
Overpass,L,17,19
Mirage,W,16,14
Inferno,L,13,16
Overpass,L,8,16
Mirage,L,14,16
Nuke,W,16,9
Vertigo,W,16,10
Ancient,L,12,16
Vertigo,L,14,16
Mirage,W,16,13
Ancient,W,16,13
Overpass,L,13,16
Mirage,L,10,16
Ancient,L,9,16
Nuke,L,5,16
Mirage,L,12,16
Vertigo,W,19,17
Inferno,L,12,16
Nuke,W,16,11
Mirage,W,16,9
Nuke,L,2,16
Overpass,L,13,16
Inferno,L,6,16
Ancient,L,11,16
Ancient,L,8,16
Inferno,L,12,16
Inferno,W,16,11
Nuke,W,16,13
Mirage,W,16,11
Vertigo,L,8,16
Inferno,W,16,6
Nuke,L,5,16
Vertigo,L,2,16
Mirage,W,16,14
Inferno,W,16,10
Nuke,L,4,16
Overpass,W,16,10
Vertigo,W,16,11
Nuke,W,25,23
Ancient,W,19,16
Mirage,W,16,12
Inferno,L,14,16
Ancient,W,16,9
Mirage,L,7,16
Inferno,W,16,14
Mirage,W,16,12
Ancient,L,11,16
Nuke,W,16,6
Nuke,W,16,13
Mirage,W,16,12
Inferno,W,22,19
Nuke,L,12,16
Overpass,W,16,2
Nuke,W,16,6
Inferno,L,8,16
Nuke,W,16,9
Vertigo,L,20,22
Nuke,L,5,16
Overpass,L,6,16
Vertigo,L,9,16
Inferno,W,16,8
Ancient,W,16,10
Nuke,L,13,16
Overpass,L,17,19
Mirage,L,13,16
Ancient,L,3,16
Inferno,W,16,9
Vertigo,W,19,17
Mirage,L,13,16
Overpass,W,16,9
Nuke,L,11,16
Ancient,L,10,16
Overpass,W,16,10
Mirage,L,8,16
Vertigo,L,17,19
Overpass,W,16,4
Overpass,L,11,16
Vertigo,L,11,16
Vertigo,W,16,13
Nuke,W,16,7
Nuke,W,16,9
Overpass,W,16,13
Inferno,W,16,8
Nuke,W,16,12
Mirage,L,7,16
Nuke,W,16,5
Vertigo,W,16,4
Overpass,L,7,16
Mirage,L,13,16
Nuke,L,12,16
Inferno,W,16,14
Vertigo,W,16,3
Overpass,L,11,16
Inferno,W,16,7
Nuke,W,16,12
Ancient,L,9,16
Mirage,W,16,13
Inferno,W,16,7
Vertigo,W,16,6
Nuke,W,16,9
Mirage,L,9,16
Overpass,L,14,16
Inferno,L,7,16
Vertigo,W,19,16
Mirage,L,7,16
Inferno,W,16,14
Mirage,L,12,16
Vertigo,L,12,16
Nuke,W,16,13
Mirage,W,16,13
Nuke,W,16,14
Overpass,W,16,11
Nuke,W,16,9
Inferno,W,16,5
Mirage,W,16,11
Mirage,L,8,16
Vertigo,L,14,16
Ancient,W,16,14
Vertigo,W,16,8
Mirage,L,10,16
Ancient,W,16,8
Vertigo,W,19,17
Nuke,L,5,16
Inferno,W,19,16
Ancient,L,14,16
Nuke,W,4,1
Nuke,W,4,0
Vertigo,W,16,12
Vertigo,W,16,14
Nuke,W,16,14
Inferno,L,13,16
Dust2,L,10,16
Inferno,W,16,7
Vertigo,W,16,7
Vertigo,L,10,16
Ancient,L,14,16
Inferno,W,16,13
Vertigo,W,16,14
Mirage,L,13,16
Inferno,W,16,10
Vertigo,W,16,8
Ancient,L,13,16
Vertigo,W,16,9
Nuke,W,16,7
Nuke,W,16,12
Inferno,W,16,11
Overpass,L,3,16
Vertigo,L,12,16
Nuke,W,16,9
Inferno,W,16,7
Nuke,W,19,17
Vertigo,W,16,11
Nuke,W,16,14
Vertigo,L,13,16
Overpass,W,16,10
Mirage,L,12,16
Nuke,W,16,11
Inferno,W,16,12
Nuke,L,14,16
Mirage,L,19,22
Vertigo,L,16,19
Ancient,L,14,16
Vertigo,W,16,3
Nuke,L,11,16
Overpass,W,16,11
Nuke,L,5,16
Vertigo,W,16,10
Overpass,L,14,16
Overpass,W,16,11
Ancient,W,16,14
Inferno,L,14,16
Vertigo,L,10,16
Vertigo,W,16,13
Nuke,W,16,14
Mirage,L,7,16
Vertigo,L,6,16
Overpass,L,12,16
Nuke,W,16,14
Overpass,W,16,4
Ancient,W,16,5
Overpass,W,16,13
Inferno,W,16,13
Nuke,W,16,10
Mirage,L,8,16
Nuke,W,16,7
Nuke,W,16,14
Overpass,W,16,11
Inferno,L,14,16
Ancient,L,1,16
Vertigo,W,16,3
Inferno,W,16,4
Overpass,W,16,8
Inferno,W,16,8
Mirage,L,6,16
Ancient,W,16,6
Mirage,W,16,4
Inferno,L,13,16
Train,L,13,16
Nuke,L,14,16
Mirage,L,7,16
Nuke,L,2,16
Overpass,L,4,16
Mirage,L,10,16
Mirage,L,13,16
Vertigo,L,11,16
Nuke,L,11,16
Inferno,L,13,16
Vertigo,W,19,17
Inferno,W,16,7
Nuke,L,19,22
Vertigo,W,16,12
Overpass,W,25,23
Inferno,W,16,11
Mirage,L,8,16
Nuke,W,16,11
Inferno,L,11,16
Overpass,L,12,16
Inferno,L,12,16
Mirage,W,16,7
Inferno,W,16,10
Overpass,L,7,16
Nuke,W,16,12
Overpass,W,16,9
Mirage,W,16,13
Vertigo,W,16,6
Inferno,W,16,11
Mirage,L,9,16
Nuke,W,16,12
Inferno,L,12,16
Train,L,14,16
Overpass,W,16,12
Inferno,W,16,9
Mirage,W,16,2
Overpass,W,16,12
Nuke,W,16,8
Inferno,L,9,16
Overpass,W,16,14
Nuke,L,12,16
Vertigo,L,16,19
Train,L,8,16
Inferno,L,12,16
Vertigo,L,7,16
Train,W,16,11
Inferno,L,14,16
Overpass,L,5,16
Vertigo,W,16,8
Inferno,W,16,11
Mirage,W,16,6
Overpass,W,16,6
Train,W,16,8
Overpass,W,16,11
Inferno,W,16,7
Mirage,W,16,10
Overpass,L,14,16
Inferno,W,16,3
Overpass,W,16,9
Inferno,W,16,13
Vertigo,W,22,20
Mirage,L,8,16
Overpass,W,16,14
Nuke,W,16,14
Inferno,W,16,3
Train,W,19,16
Overpass,W,16,12
Mirage,W,16,5
Nuke,L,5,16
Nuke,W,16,10
Overpass,W,19,16
Inferno,W,16,13
Overpass,W,16,9
Inferno,W,16,10
Nuke,L,11,16
Overpass,L,11,16
Inferno,W,16,9
Vertigo,L,13,16
Nuke,W,16,11
Nuke,L,13,16
Vertigo,L,6,16
Nuke,W,16,7
Overpass,W,16,5
Vertigo,L,5,16
Nuke,W,16,7
Train,L,14,16
Train,L,8,16
Vertigo,L,14,16
Overpass,W,16,6
Mirage,W,16,12
Vertigo,L,5,16
Mirage,W,19,17
Inferno,L,20,22
Overpass,W,16,10
Train,W,16,9
Nuke,W,16,8
Train,W,16,7
Vertigo,W,16,3
Inferno,W,16,4
Inferno,L,11,16
Overpass,L,11,16
Mirage,W,19,16
Inferno,L,6,16
Overpass,W,16,6
Nuke,L,9,16
Mirage,L,16,19
Overpass,W,16,6
Overpass,W,16,8
Mirage,W,16,10
Inferno,W,16,8
Mirage,L,12,16
Nuke,L,8,16
Nuke,W,19,17
Inferno,W,16,10
Train,L,17,19
Overpass,L,6,16
Train,L,9,16
Mirage,L,10,16
Mirage,L,10,16
Train,L,5,16
Nuke,W,16,10
Overpass,W,16,11
Mirage,W,16,14
Train,W,16,2
Overpass,W,16,9
Nuke,L,16,19
Overpass,L,11,16
Inferno,L,6,16
Train,W,16,11
Nuke,W,16,8
Overpass,W,16,7
Inferno,W,16,14
Vertigo,L,9,16
Overpass,W,16,14
Nuke,W,16,8
Vertigo,W,16,9
Overpass,W,16,8
Nuke,W,16,10
Train,W,16,14
Inferno,W,16,4
Overpass,L,7,16
Vertigo,W,16,11
Overpass,W,16,4
Nuke,W,16,4
Vertigo,W,16,13
Overpass,W,16,10
Inferno,W,16,7
Train,W,16,9
Nuke,L,14,16
Nuke,W,16,7
Mirage,W,16,6
Mirage,L,7,16
Inferno,L,6,16
Vertigo,W,16,9
Mirage,W,16,5
Overpass,L,13,16
Inferno,L,14,16
Vertigo,W,16,13
Overpass,W,16,13
Overpass,L,10,16
Nuke,L,14,16
Mirage,W,25,22
Overpass,W,16,11
Train,W,16,11
Overpass,W,16,11
Mirage,L,14,16
Inferno,L,7,16
Overpass,W,16,8
Nuke,L,12,16
Vertigo,L,9,16
Overpass,L,16,19
Overpass,W,16,13
Inferno,W,16,6
Vertigo,W,16,4
Mirage,W,16,4
Nuke,L,9,16
Inferno,L,12,16
Train,L,12,16
Train,L,8,16
Nuke,L,7,16
Overpass,W,28,24
Nuke,L,2,16
Train,W,16,10
Nuke,W,16,12
Train,W,16,10
Vertigo,L,6,16
Train,W,16,2
Vertigo,W,16,11
Inferno,W,16,14
Overpass,W,16,9
Vertigo,L,14,16
Train,L,7,16
Inferno,L,11,16
Nuke,W,19,16
Vertigo,W,16,5
Inferno,W,16,12
Overpass,W,16,3
Mirage,W,16,10
Vertigo,L,11,16
Overpass,W,16,14
Inferno,W,16,12
Overpass,W,16,13
Vertigo,L,6,16
Inferno,W,16,9
Overpass,L,13,16
Nuke,W,16,7
Train,W,16,14
Overpass,W,16,13
Vertigo,L,4,16
Nuke,W,16,11
Inferno,W,16,11
Vertigo,L,8,16
Overpass,W,16,9
Vertigo,W,16,12
Inferno,L,16,19
Train,W,16,14
Mirage,L,12,16
Overpass,W,16,12
Vertigo,W,16,7
Inferno,W,16,7
Inferno,L,11,16
Vertigo,L,14,16
Inferno,L,14,16
Mirage,W,16,13
Nuke,L,8,16
Overpass,W,16,13
Inferno,W,16,11
Train,W,16,10
Nuke,L,15,19
Inferno,L,6,16
Inferno,L,14,16
Overpass,W,16,9
Vertigo,L,12,16
Nuke,W,16,4
Mirage,W,19,17
Train,W,16,8
Nuke,W,16,8
Overpass,L,14,16
Train,L,6,16
Nuke,W,22,20
Train,W,16,11
Inferno,L,10,16
Nuke,L,10,16
Overpass,W,16,5
Inferno,L,9,16
Mirage,L,20,22
Train,L,4,16
Inferno,W,16,12
Vertigo,L,5,16
Overpass,L,6,16
Inferno,L,8,16
Train,L,8,16
Overpass,L,9,16
Train,L,12,16
Overpass,W,16,14
Inferno,L,5,16
Train,W,16,12
Vertigo,L,3,16
Inferno,W,19,15
Inferno,W,16,8
Overpass,L,1,16
Mirage,W,19,16
Inferno,W,16,14
Nuke,L,11,16
Overpass,W,16,14
Overpass,L,12,16
Mirage,L,4,16
Mirage,L,6,16
Nuke,W,16,12
Inferno,L,6,16
Inferno,L,7,16
Vertigo,L,14,16
Mirage,W,16,6
Inferno,W,16,9
Overpass,L,13,16
Vertigo,W,16,14
Inferno,L,11,16
Inferno,W,16,7
Nuke,L,5,16
Vertigo,L,12,16
Inferno,L,12,16
Train,W,16,14
Nuke,L,13,16
Inferno,W,16,5
Overpass,W,28,24
Nuke,L,12,16
Train,L,14,16
Overpass,L,9,16
Inferno,W,16,7
Train,W,16,14
Inferno,W,16,8
Mirage,L,10,16
Inferno,L,11,16
Overpass,L,17,19
Inferno,W,16,5
Vertigo,W,16,3
Train,L,9,16
Vertigo,L,12,16
Overpass,W,16,1
Mirage,W,19,17
Vertigo,W,16,12
Train,L,7,16
Vertigo,L,10,16
Inferno,L,7,16
Inferno,W,16,4
Vertigo,W,16,11
Inferno,W,16,6
Vertigo,W,16,8
Overpass,L,6,16
Train,L,12,16
Vertigo,L,1,16
Overpass,L,8,16
Train,W,19,16
Inferno,W,16,10
Overpass,W,16,10
Inferno,L,11,16
Nuke,W,16,8
Overpass,L,13,16
Train,L,4,16
Nuke,W,19,17
Inferno,L,8,16
Mirage,L,5,16
Inferno,W,16,2
Train,W,22,20
Vertigo,W,16,9
Inferno,W,16,14
Vertigo,L,12,16
Overpass,L,11,16
Nuke,W,16,13
Inferno,W,16,8
Mirage,W,16,9
Overpass,L,12,16
Inferno,L,14,16
Vertigo,L,1,16
Inferno,L,12,16
Inferno,L,7,16
Mirage,L,9,16
Overpass,W,16,9
Train,W,16,11
Mirage,L,5,16
Nuke,W,16,13
Train,W,19,17
Inferno,W,16,12
Nuke,L,13,16
Mirage,L,7,16
Overpass,L,5,16
Inferno,L,9,16
Vertigo,L,11,16
Overpass,L,9,16
Train,W,16,13
Overpass,W,16,7
Mirage,L,13,16
Vertigo,L,7,16
Overpass,L,4,16
Inferno,W,16,10
Train,L,7,16
Overpass,W,16,9
Overpass,W,16,6
Mirage,W,16,6
Mirage,L,12,16
Overpass,L,12,16
Mirage,W,16,14
Overpass,W,16,14
Mirage,L,10,16
Inferno,L,7,16
Nuke,L,12,16
Nuke,L,13,16
Inferno,W,16,4
Mirage,L,11,16
Overpass,W,22,20
Inferno,W,16,12
Nuke,W,16,7
Train,L,14,16
Nuke,L,14,16
Overpass,L,10,16
Mirage,W,16,12
Inferno,W,16,6
Vertigo,L,11,16
Nuke,W,16,5
Overpass,W,16,10
Inferno,L,5,16
Train,L,13,16
Mirage,W,16,8
Train,L,10,16
Mirage,W,25,23
Inferno,L,17,19
Mirage,W,16,11
Inferno,L,10,16
Train,W,16,12
Nuke,L,10,16
Overpass,L,10,16
Inferno,W,16,11
Inferno,W,16,6
Train,L,10,16
Overpass,W,22,20
Inferno,W,16,8
Inferno,L,7,16
Train,L,11,16
Mirage,L,13,16
Nuke,W,16,4
Nuke,L,8,16
Mirage,W,16,14
Overpass,W,16,10
Nuke,W,16,6
Overpass,W,16,13
Mirage,L,8,16
Overpass,L,13,16
Nuke,W,16,12
Mirage,L,13,16
Overpass,W,16,14
Nuke,L,13,16
Inferno,L,10,16
Overpass,W,16,7
Overpass,W,16,9
Mirage,L,14,16
Inferno,W,16,9
Vertigo,L,5,16
Inferno,L,11,16
Overpass,W,19,16
Mirage,W,19,15
Inferno,L,8,16
Vertigo,W,16,12
Inferno,L,11,16
Overpass,W,16,3
Nuke,L,14,16
Mirage,L,12,16
Inferno,L,11,16
Overpass,L,12,16
Mirage,L,11,16
Overpass,W,16,3
Train,L,7,16
Overpass,W,16,8
Nuke,W,16,10
Mirage,W,22,20
Nuke,W,16,13
Inferno,W,16,13
Overpass,W,16,13
Mirage,L,20,22
Vertigo,W,16,14
Overpass,L,12,16
Train,L,12,16
Overpass,L,14,16
Vertigo,W,16,12
Inferno,W,16,9
Inferno,W,19,15
Mirage,W,16,5
Inferno,W,16,6
Nuke,W,16,14
Train,W,16,9
Overpass,W,16,4
Vertigo,L,12,16
Mirage,W,16,6
Nuke,W,16,10
Inferno,W,16,8
Train,W,16,11
Train,W,16,3
Nuke,W,16,5
Inferno,W,16,11
Inferno,W,19,16
Train,L,7,16
Inferno,W,16,14
Inferno,L,13,16
Vertigo,W,16,14
Mirage,L,8,16
Inferno,W,16,11
Vertigo,W,16,7
Overpass,W,16,6
Vertigo,L,12,16
Train,W,16,9
Overpass,L,17,19
Inferno,W,25,23
Mirage,L,14,16
Nuke,W,16,10
Inferno,W,16,7
Inferno,L,13,16
Nuke,L,4,16
Inferno,W,16,12
Inferno,W,16,14
Inferno,L,10,16
Train,W,16,9
Overpass,L,13,16
Inferno,L,14,16
Nuke,W,19,17
Inferno,L,14,16
Train,L,10,16
Inferno,L,15,19
Mirage,W,16,10
Train,L,4,16
Vertigo,W,16,14
Inferno,W,16,12
Inferno,L,14,16
Mirage,L,6,16
Vertigo,W,16,10
Nuke,L,13,16
Train,W,16,11
Vertigo,L,15,19
Nuke,L,7,16
Train,W,16,3
Mirage,L,11,16
Overpass,W,16,9
Train,W,16,3
Inferno,L,9,16
Train,L,15,19
Train,L,8,16
Overpass,L,20,22
Inferno,W,16,8
Nuke,L,9,16
Mirage,L,5,16
Inferno,W,16,11
Overpass,L,13,16
Train,W,16,13
Inferno,L,16,19
Nuke,W,16,13
Inferno,L,17,19
Nuke,L,12,16
Mirage,W,16,13
Inferno,W,16,3
Inferno,L,10,16
Train,W,19,17
Overpass,L,3,16
Vertigo,L,9,16
Nuke,W,16,13
Overpass,L,13,16
Train,L,5,16
Nuke,L,8,16
Inferno,W,16,4
Train,L,14,16
Nuke,W,16,13
Mirage,L,15,19
Train,L,14,16
Vertigo,W,22,19
Train,W,19,15
Inferno,W,16,14
Inferno,L,6,16
Nuke,L,11,16
Inferno,L,11,16
Train,L,8,16
Overpass,W,16,11
Nuke,W,16,13
Overpass,L,15,19
Nuke,L,12,16
Inferno,L,10,16
Nuke,L,9,16
Train,W,16,9
Inferno,W,16,12
Train,W,16,9
Overpass,L,11,16
Mirage,W,19,17
Train,W,16,8
Nuke,L,17,19
Inferno,L,14,16
Inferno,W,16,12
Mirage,W,16,7
Inferno,W,16,5
Overpass,W,16,6
Inferno,W,16,6
Mirage,W,16,11
Nuke,L,11,16
Vertigo,L,16,19
Train,W,16,13
Nuke,L,14,16
Nuke,L,13,16
Train,W,16,13
Overpass,L,3,16
Train,W,16,8
Inferno,L,2,16
Overpass,W,16,13
Nuke,L,20,22
Inferno,W,16,12
Mirage,L,19,22
Train,L,13,16
Vertigo,W,16,11
Inferno,W,19,16
Mirage,W,16,9
Nuke,L,6,16
Inferno,L,12,16
Nuke,L,11,16
Overpass,W,16,9
Nuke,L,13,16
Mirage,L,11,16
Overpass,L,9,16
Mirage,W,16,11
Nuke,W,19,16
Mirage,W,16,13
Inferno,W,16,12
Inferno,W,16,6
Nuke,W,16,13
Mirage,W,16,8
Inferno,W,16,14
Vertigo,L,12,16
Overpass,W,16,10
Nuke,L,14,16
Vertigo,W,16,11
Nuke,W,16,14
Train,L,11,16
Inferno,L,12,16
Vertigo,W,16,11
Nuke,L,10,16
Overpass,W,16,11
Inferno,W,16,4
Inferno,W,16,6
Mirage,L,2,16
Vertigo,W,16,10
Mirage,W,19,17
Overpass,W,16,13
Nuke,W,16,5
Overpass,W,16,12
Train,W,16,10
Overpass,W,16,3
Mirage,W,16,4
Mirage,L,14,16
Nuke,L,7,16
Mirage,W,16,14
Overpass,L,9,16
Inferno,W,16,5
Mirage,L,4,16
Overpass,W,16,6
Overpass,W,16,7
Inferno,W,16,13
Mirage,L,8,16
Overpass,L,12,16
Train,L,13,16
Overpass,W,16,10
Mirage,L,11,16
Inferno,W,19,16
Mirage,W,16,5
Inferno,W,16,8
Inferno,L,7,16
Mirage,L,8,16
Inferno,L,14,16
Overpass,W,16,10
Inferno,W,16,9
Cache,L,12,16
Mirage,L,13,16
Mirage,L,13,16
Inferno,W,19,16
Mirage,W,16,13
Nuke,L,15,19
Inferno,L,11,16
Mirage,W,16,9
Inferno,W,16,12
Overpass,W,16,13
Inferno,L,5,16
Mirage,L,16,19
Train,L,4,16
Inferno,W,16,9
Overpass,W,16,4
Cache,L,9,16
Mirage,L,13,16
Inferno,L,8,16
Nuke,L,10,16
Mirage,L,6,16
Cache,W,16,13
Train,L,14,16
Nuke,W,19,17
Overpass,W,19,17
Overpass,W,16,13
Overpass,W,16,11
Nuke,L,8,16
Overpass,L,10,16
Nuke,W,16,13
Train,W,19,15
Train,W,16,14
