Map,MatchStatus,Team A score,Team B score
Vertigo,L,14,16
Overpass,L,14,16
Inferno,W,16,9
Vertigo,W,16,14
Inferno,W,16,12
Vertigo,W,16,8
Inferno,W,16,11
Vertigo,L,10,16
Inferno,L,6,16
Ancient,L,12,16
Inferno,L,13,16
Dust2,W,16,6
Inferno,W,16,10
Vertigo,W,16,6
Dust2,W,16,8
Mirage,W,16,7
Dust2,L,11,16
Vertigo,W,16,10
Inferno,L,10,16
Mirage,L,8,16
Mirage,W,16,8
Mirage,L,12,16
Inferno,W,16,11
Mirage,W,16,10
Dust2,L,12,16
Overpass,W,16,9
Vertigo,L,6,16
Dust2,W,16,14
Inferno,W,19,16
Ancient,L,10,16
Dust2,W,16,14
Overpass,W,16,10
Inferno,W,19,17
Mirage,L,10,16
Inferno,L,12,16
Dust2,L,8,16
Dust2,W,16,2
Inferno,L,13,16
Dust2,L,7,16
Dust2,W,16,4
Inferno,W,16,8
Vertigo,L,17,19
Dust2,L,17,19
Mirage,L,10,16
Dust2,W,22,18
Inferno,W,16,8
Vertigo,L,7,16
Overpass,L,8,16
Mirage,W,16,14
