,teamA,teamB,map,scoreTeamA,scoreTeamB
0,iNation,Germany,Dust2,16,8
1,iNation,Germany,Ancient,13,16
2,iNation,Germany,Nuke,16,14
3,Cloud9,Outsiders,Dust2,16,6
4,Cloud9,Outsiders,Ancient,16,12
5,Spain,Slovakia,Inferno,16,11
6,Spain,Slovakia,Overpass,16,13
7,Natus Vincere,MOUZ,Nuke,16,12
8,Natus Vincere,MOUZ,Mirage,14,16
9,Natus Vincere,MOUZ,Inferno,16,6
10,ENCE,Vitality,Nuke,10,16
11,ENCE,Vitality,Dust2,16,12
12,ENCE,Vitality,Mirage,7,16
13,CatEvil,YK,Nuke,15,19
14,Austria,Germany,Overpass,14,16
15,Austria,Germany,Vertigo,15,19
16,Belgium,Spain,Inferno,2,16
17,Belgium,Spain,Nuke,9,16
18,NSN,Wings Up,Inferno,16,11
19,YK,Lynn Vision,Overpass,16,13
20,Wings Up,Invictus,Nuke,16,11
21,TheMongolz,CatEvil,Nuke,14,16
22,NSN,ARAVT,Ancient,16,9
23,Slovakia,Czech Republic,Mirage,17,19
24,Morbin5,Paradox,Mirage,12,16
25,Ukraine,iNation,Vertigo,16,1
26,Aftershock,Antic,Dust2,16,10
27,NIP,Heroic,Ancient,16,13
28,NIP,Heroic,Inferno,16,13
29,G2,Movistar Riders,Vertigo,12,16
30,G2,Movistar Riders,Inferno,9,16
31,Czech Republic,Spain,Dust2,16,14
32,iNation,Germany,Inferno,16,1
33,Ukraine,Austria,Mirage,16,7
34,Belgium,Slovakia,Mirage,7,16
35,Stone,River Plate,Inferno,19,22
36,Stone,River Plate,Ancient,19,16
37,Stone,River Plate,Overpass,10,16
38,Davenport University,ONET4P,Overpass,12,16
39,Davenport University,ONET4P,Inferno,3,16
40,Daotsu,The Union,Inferno,7,16
41,Daotsu,The Union,Overpass,16,11
42,Daotsu,The Union,Mirage,16,8
43,Isurus,Holkattes,Inferno,6,16
44,Isurus,Holkattes,Nuke,10,16
45,00NATION,Imperial,Ancient,16,12
46,00NATION,Imperial,Overpass,16,12
47,Israel,OneTap,Nuke,16,9
48,Israel,OneTap,Inferno,19,17
49,Sweden,Croatia,Vertigo,22,20
50,Sweden,Croatia,Overpass,6,16
51,Sweden,Croatia,Mirage,16,14
52,MOUZ,TYLOO,Overpass,16,7
53,MOUZ,TYLOO,Ancient,16,11
54,AGO,ONYX,Mirage,16,19
55,AGO,ONYX,Ancient,16,13
56,AGO,ONYX,Vertigo,19,15
57,UNGENTIUM,EC Kyiv,Vertigo,5,16
58,UNGENTIUM,EC Kyiv,Dust2,16,8
59,UNGENTIUM,EC Kyiv,Ancient,19,16
60,BIG,Astralis,Nuke,14,16
61,BIG,Astralis,Dust2,16,13
62,BIG,Astralis,Overpass,11,16
63,Sprout,Vitality,Vertigo,22,20
64,Sprout,Vitality,Dust2,11,16
65,Sprout,Vitality,Overpass,10,16
66,Israel,Perspektiva,Inferno,16,6
67,Israel,Perspektiva,Mirage,16,10
68,Croatia,Luxembourg,Vertigo,16,11
69,Croatia,Luxembourg,Inferno,16,1
70,OneTap,Norway,Overpass,11,16
71,Sweden,BLUEJAYS,Mirage,12,16
72,ORDER,Imperial,Inferno,16,8
73,ORDER,Imperial,Mirage,8,16
74,ORDER,Imperial,Nuke,11,16
75,MIBR,TYLOO,Inferno,16,5
76,MIBR,TYLOO,Overpass,3,16
77,MIBR,TYLOO,Dust2,10,16
78,Perspektiva,Norway,Mirage,7,16
79,BLUEJAYS,Luxembourg,Dust2,16,8
80,DGG,Aftershock,Mirage,8,16
81,DGG,Aftershock,Vertigo,16,6
82,DGG,Aftershock,Nuke,16,8
83,OneTap,Israel,Vertigo,16,11
84,Sweden,Croatia,Mirage,16,1
85,Luxe,Northern Forces,Inferno,16,9
86,Luxe,Northern Forces,Mirage,16,13
87,Movistar Riders,Vitality,Vertigo,16,13
88,Movistar Riders,Vitality,Overpass,16,4
89,Complexity,Astralis,Overpass,10,16
90,Complexity,Astralis,Nuke,9,16
91,BIG,Outsiders,Inferno,13,16
92,BIG,Outsiders,Dust2,13,16
93,Spirit,00NATION,Vertigo,16,5
94,Spirit,00NATION,Dust2,14,16
95,Spirit,00NATION,Ancient,16,13
96,Sprout,paiN,Ancient,16,10
97,Sprout,paiN,Dust2,12,16
98,Sprout,paiN,Vertigo,16,10
99,Heroic,MOUZ,Ancient,16,5
100,Heroic,MOUZ,Inferno,11,16
101,Heroic,MOUZ,Nuke,16,7
102,TYLOO,Vitality,Overpass,9,16
103,MIBR,Movistar Riders,Ancient,13,16
104,Rooster,Aftershock,Dust2,9,16
105,Antic,DGG,Vertigo,10,16
106,Outsiders,Imperial,Inferno,16,6
107,00NATION,Astralis,Mirage,16,6
108,BIG,ORDER,Nuke,16,7
109,MOUZ,paiN,Nuke,19,16
110,Spirit,Complexity,Ancient,16,11
111,Heroic,Sprout,Overpass,16,3
112,B4,Daotsu,Mirage,16,9
113,B4,Daotsu,Dust2,12,16
114,B4,Daotsu,Inferno,16,13
115,ECLOT,ONYX,Overpass,13,16
116,ECLOT,ONYX,Inferno,16,11
117,ECLOT,ONYX,Mirage,19,16
118,Stars Horizon,The Union,Ancient,14,16
119,Stars Horizon,The Union,Dust2,5,16
120,BIG Academy,AGO,Ancient,11,16
121,BIG Academy,AGO,Dust2,16,6
122,BIG Academy,AGO,Mirage,19,17
123,ECLOT,UNGENTIUM,Vertigo,11,16
124,ECLOT,UNGENTIUM,Mirage,7,16
125,EC Kyiv,Apeks,Mirage,16,10
126,EC Kyiv,Apeks,Dust2,16,10
127,ODDIK,Meta BR,Nuke,16,9
128,ODDIK,Meta BR,Inferno,16,6
129,Outsiders,Movistar Riders,Inferno,16,9
130,Outsiders,Movistar Riders,Overpass,14,16
131,Outsiders,Movistar Riders,Vertigo,14,16
132,ARCTIC,Stars Horizon,Ancient,16,12
133,ARCTIC,Stars Horizon,Mirage,16,10
134,Nigma Galaxy,FURIA fe,Dust2,16,8
135,Nigma Galaxy,FURIA fe,Vertigo,16,11
