noMatch,teamA,teamB,map
Movistar Riders,Vitality,Vertigo
Movistar Riders,Vitality,Overpass
Complexity,Astralis,Overpass
Complexity,Astralis,Nuke
BIG,Outsiders,Inferno
BIG,Outsiders,Dust2
Spirit,00NATION,Vertigo
Spirit,00NATION,Dust2
Spirit,00NATION,Ancient
Sprout,paiN,Ancient
Sprout,paiN,Dust2
Sprout,paiN,Vertigo
Heroic,MOUZ,Ancient
Heroic,MOUZ,Inferno
Heroic,MOUZ,Nuke
Luxe,Northern Forces,Inferno
Luxe,Northern Forces,Mirage
Movistar Riders,Vitality,Vertigo
Movistar Riders,Vitality,Overpass
Complexity,Astralis,Overpass
Complexity,Astralis,Nuke
BIG,Outsiders,Inferno
BIG,Outsiders,Dust2
Spirit,00NATION,Vertigo
Spirit,00NATION,Dust2
Spirit,00NATION,Ancient
Sprout,paiN,Ancient
Sprout,paiN,Dust2
Sprout,paiN,Vertigo
Heroic,MOUZ,Ancient
Heroic,MOUZ,Inferno
Heroic,MOUZ,Nuke
B4,Daotsu,Mirage
B4,Daotsu,Dust2
B4,Daotsu,Inferno
ECLOT,ONYX,Overpass
ECLOT,ONYX,Inferno
ECLOT,ONYX,Mirage
Stars Horizon,The Union,Ancient
Stars Horizon,The Union,Dust2
BIG Academy,AGO,Ancient
BIG Academy,AGO,Dust2
BIG Academy,AGO,Mirage
ECLOT,UNGENTIUM,Vertigo
ECLOT,UNGENTIUM,Mirage
EC Kyiv,Apeks,Mirage
EC Kyiv,Apeks,Dust2
ODDIK,Meta BR,Nuke
ODDIK,Meta BR,Inferno
Outsiders,Movistar Riders,Inferno
Outsiders,Movistar Riders,Overpass
Outsiders,Movistar Riders,Vertigo
ARCTIC,Stars Horizon,Ancient
ARCTIC,Stars Horizon,Mirage
Nigma Galaxy,FURIA fe,Dust2
Nigma Galaxy,FURIA fe,Vertigo
Sangal,EC Kyiv,Inferno
Sangal,EC Kyiv,Overpass
Movistar Riders,Sprout,Inferno
Movistar Riders,Sprout,Nuke
FURIA fe,NAVI Javelins,Vertigo
FURIA fe,NAVI Javelins,Mirage
B8,BLUEJAYS,Vertigo
B8,BLUEJAYS,Inferno
Outsiders,Rare Atom,Inferno
Outsiders,Rare Atom,Vertigo
Nigma Galaxy,MIBR fe,Dust2
Nigma Galaxy,MIBR fe,Vertigo
Redragon,Meta BR,Inferno
Redragon,Meta BR,Dust2
Redragon,Meta BR,Nuke
HEET,Bad News Eagles,Nuke
HEET,Bad News Eagles,Inferno
