Map,MatchStatus,Team A score,Team B score
Nuke,W,16,10
Vertigo,W,16,10
Dust2,W,16,8
Nuke,W,16,9
Vertigo,L,14,16
Overpass,W,19,17
Mirage,L,14,16
Inferno,W,16,13
Dust2,W,16,2
Mirage,W,16,13
Vertigo,L,4,16
Nuke,L,10,16
Dust2,W,16,13
Dust2,W,16,10
Inferno,W,16,6
Inferno,L,10,16
Vertigo,L,6,16
Inferno,W,16,7
Nuke,W,16,5
Mirage,L,9,16
Nuke,L,8,16
Vertigo,W,16,9
Nuke,W,16,10
Inferno,W,16,14
Dust2,L,6,16
Overpass,W,16,7
Dust2,W,16,9
Vertigo,W,16,14
Inferno,L,12,16
Overpass,L,6,16
Mirage,L,7,16
Dust2,W,19,17
Nuke,L,14,16
Dust2,L,17,19
Overpass,W,16,14
Inferno,W,16,12
Nuke,L,7,16
Vertigo,W,16,11
Nuke,L,14,16
Inferno,L,17,19
Nuke,W,16,8
Dust2,W,16,9
Inferno,L,12,16
Nuke,W,16,7
Nuke,W,16,5
Nuke,L,16,19
Inferno,L,12,16
Dust2,W,16,14
Dust2,W,16,11
Mirage,W,16,12
Inferno,L,17,19
Mirage,L,8,16
Inferno,L,14,16
Dust2,W,16,14
Dust2,W,16,6
Mirage,W,16,9
Dust2,W,16,14
