Map,MatchStatus,Team A score,Team B score
Inferno,L,5,16
Mirage,L,11,16
Vertigo,W,16,13
Dust2,W,16,13
Inferno,W,16,11
Mirage,L,5,16
Inferno,L,14,16
Dust2,W,16,11
Overpass,W,16,5
Vertigo,W,16,8
Ancient,L,19,22
Mirage,L,7,16
Mirage,W,16,13
Overpass,W,16,11
Inferno,L,4,16
Vertigo,W,16,7
Overpass,L,8,16
Vertigo,W,16,9
Overpass,W,16,9
Inferno,W,16,8
Dust2,W,16,9
Dust2,L,12,16
Dust2,L,13,16
Nuke,L,14,16
Vertigo,W,16,7
Dust2,L,11,16
Mirage,W,16,9
Dust2,W,16,14
Vertigo,W,16,6
Overpass,L,9,16
Mirage,W,16,12
Vertigo,L,17,19
Inferno,W,16,12
Inferno,W,16,2
Overpass,W,16,9
Ancient,L,10,16
Dust2,W,16,6
Vertigo,W,16,4
Ancient,W,19,17
Vertigo,W,16,13
Dust2,L,17,19
Vertigo,L,11,16
Ancient,W,16,7
Overpass,L,23,25
Dust2,W,16,13
Inferno,L,3,16
Overpass,W,16,11
Mirage,L,17,19
Overpass,L,8,16
Dust2,W,16,12
Ancient,L,8,16
Vertigo,L,5,16
Overpass,L,13,16
Ancient,L,7,16
Vertigo,W,16,14
Mirage,W,16,13
Dust2,W,16,11
Overpass,L,13,16
Dust2,W,16,10
Vertigo,W,16,11
Inferno,W,19,15
Overpass,W,16,6
Vertigo,W,16,5
Overpass,L,13,16
Ancient,L,8,16
Dust2,L,7,16
Mirage,W,22,20
Mirage,L,7,16
Overpass,L,13,16
Inferno,L,7,16
Ancient,W,16,8
Vertigo,L,16,19
Ancient,L,2,16
Vertigo,L,11,16
Mirage,W,16,9
Dust2,W,16,13
Ancient,L,12,16
Mirage,W,16,14
Dust2,L,13,16
Mirage,W,16,4
Inferno,W,16,12
Inferno,W,16,12
Vertigo,L,5,16
Ancient,W,16,14
Nuke,W,16,11
Mirage,W,19,17
Inferno,L,10,16
Mirage,W,16,10
Vertigo,L,13,16
Ancient,L,12,16
Inferno,L,1,16
Overpass,W,16,9
Dust2,L,15,19
Overpass,L,10,16
Overpass,W,16,12
Ancient,L,14,16
Inferno,W,16,8
Dust2,L,17,19
Inferno,L,12,16
Mirage,W,16,10
Inferno,W,16,9
Ancient,L,14,16
Dust2,L,9,16
Overpass,L,4,16
Inferno,L,13,16
Overpass,W,16,10
Ancient,W,16,12
Dust2,W,19,17
Mirage,W,16,14
Overpass,L,12,16
Vertigo,L,9,16
Mirage,W,16,7
Overpass,W,16,10
Vertigo,W,16,11
Inferno,L,9,16
Dust2,L,14,16
Overpass,L,23,25
Overpass,W,16,12
Ancient,W,16,6
Vertigo,L,8,16
Overpass,L,10,16
Ancient,L,8,16
Inferno,L,20,22
Overpass,W,16,9
Ancient,L,12,16
Overpass,L,11,16
Inferno,L,7,16
Dust2,L,12,16
Mirage,W,16,14
Ancient,L,5,16
Dust2,L,7,16
Ancient,W,16,10
Overpass,W,16,6
Inferno,L,13,16
Mirage,W,16,14
Dust2,W,16,11
Vertigo,L,8,16
Inferno,L,5,16
Overpass,L,17,19
Dust2,L,12,16
Ancient,L,8,16
Overpass,W,19,16
Mirage,W,16,10
Inferno,W,16,11
Dust2,L,10,16
Ancient,L,13,16
Overpass,L,10,16
Ancient,L,13,16
Dust2,W,16,5
Mirage,L,4,16
Vertigo,L,12,16
Inferno,L,9,16
Nuke,W,16,14
Ancient,L,14,16
Overpass,W,16,6
Ancient,W,16,7
Inferno,L,14,16
Inferno,W,16,3
Dust2,L,14,16
Ancient,W,16,12
Inferno,W,16,9
Ancient,W,16,8
Vertigo,W,16,11
Overpass,W,16,9
Inferno,L,5,16
Overpass,W,16,6
Mirage,L,11,16
Vertigo,L,6,16
Inferno,L,5,16
Overpass,W,16,7
Dust2,W,16,8
Vertigo,W,16,8
Inferno,W,16,11
Mirage,W,16,6
Ancient,W,16,9
Overpass,W,16,13
Overpass,W,16,8
Mirage,W,16,13
Dust2,W,16,9
Overpass,W,16,12
Overpass,W,16,7
Vertigo,W,16,13
Inferno,W,16,7
Overpass,W,16,14
Mirage,L,6,16
Mirage,W,16,7
Vertigo,L,7,16
Inferno,W,16,7
Overpass,W,16,2
Inferno,W,16,11
Ancient,L,7,16
Inferno,L,20,22
Ancient,L,13,16
Overpass,W,16,14
Dust2,L,11,16
Overpass,L,14,16
Ancient,L,11,16
Inferno,W,16,9
Overpass,W,16,9
Inferno,W,16,7
Mirage,L,11,16
Mirage,W,16,6
Overpass,L,8,16
Dust2,W,16,6
Mirage,W,16,4
Ancient,W,16,14
Nuke,L,10,16
Inferno,L,8,16
Overpass,W,16,8
Overpass,W,16,5
Inferno,W,16,5
Inferno,W,16,14
Overpass,W,16,12
Overpass,L,6,16
Vertigo,L,8,16
Mirage,W,16,10
Overpass,L,10,16
Inferno,W,22,20
Nuke,L,12,16
Inferno,L,12,16
Mirage,W,16,13
Inferno,W,16,11
Overpass,W,16,13
Vertigo,L,11,16
Mirage,W,16,6
Overpass,W,16,11
Nuke,L,14,16
Inferno,L,6,16
Overpass,W,16,5
Dust2,L,12,16
Inferno,L,11,16
Dust2,L,9,16
Overpass,W,16,10
Vertigo,W,16,12
Inferno,W,16,6
Inferno,L,19,22
Overpass,L,14,16
Overpass,W,19,17
Nuke,W,19,17
Mirage,L,16,19
Overpass,W,16,13
Dust2,W,16,9
Nuke,L,7,16
Dust2,L,17,19
Overpass,W,16,12
Nuke,W,16,9
Inferno,W,22,19
Inferno,W,16,13
Nuke,W,16,11
Dust2,W,16,1
Overpass,W,16,9
Nuke,L,13,16
Dust2,L,11,16
Mirage,W,16,8
Vertigo,W,16,13
Dust2,L,17,19
Mirage,W,16,9
Nuke,W,16,11
Dust2,W,16,10
Overpass,L,10,16
Mirage,L,14,16
Inferno,W,19,17
Mirage,W,16,13
Inferno,L,7,16
Overpass,L,12,16
Nuke,L,12,16
Overpass,L,7,16
Nuke,L,6,16
Train,L,11,16
Inferno,L,12,16
Train,L,14,16
Mirage,W,16,7
Train,W,16,3
Overpass,L,16,19
Dust2,L,25,28
Inferno,W,16,10
Mirage,L,10,16
Inferno,L,16,19
Mirage,W,16,14
Inferno,W,16,4
Dust2,L,16,19
Mirage,L,14,16
Nuke,L,8,16
Inferno,W,16,7
Dust2,W,16,10
Train,W,16,14
Vertigo,L,12,16
Dust2,W,16,5
Mirage,W,16,13
Inferno,L,12,16
Dust2,L,8,16
Mirage,L,11,16
Dust2,W,16,7
Vertigo,L,14,16
Mirage,W,19,17
Dust2,W,16,13
Train,W,19,16
Inferno,W,16,12
Mirage,W,16,11
Dust2,W,16,11
Overpass,W,21,16
Inferno,W,21,18
Train,W,16,12
