Map,MatchStatus,Team A score,Team B score
Inferno,W,16,10
Nuke,W,16,10
Ancient,W,16,2
Nuke,L,7,16
Dust2,W,16,14
Nuke,W,22,20
Ancient,W,16,12
Overpass,L,11,16
Vertigo,L,7,16
Overpass,L,12,16
Nuke,L,17,19
Ancient,L,14,16
Vertigo,W,16,4
Nuke,W,16,10
Dust2,L,13,16
Dust2,W,16,11
Inferno,W,22,19
Ancient,W,16,10
Nuke,W,16,11
Dust2,L,14,16
Overpass,L,12,16
Dust2,W,16,7
Ancient,L,3,16
Inferno,W,16,3
Ancient,W,16,14
Dust2,W,16,11
Overpass,L,15,19
Nuke,L,13,16
Overpass,L,14,16
Dust2,L,13,16
Vertigo,L,6,16
Dust2,W,16,9
Ancient,W,16,5
Overpass,L,17,19
Inferno,L,14,16
Dust2,W,16,6
Overpass,L,7,16
Dust2,W,16,10
Inferno,W,16,13
Nuke,L,11,16
Ancient,L,14,16
Dust2,W,16,13
Overpass,W,16,9
Nuke,W,16,10
Ancient,L,8,16
Dust2,W,16,5
Vertigo,L,11,16
Dust2,W,16,14
Ancient,W,16,13
Overpass,L,11,16
Vertigo,W,16,5
Nuke,W,16,5
Inferno,L,7,16
Ancient,W,16,9
Nuke,W,19,17
Overpass,L,12,16
Dust2,W,19,15
Inferno,W,16,9
Ancient,W,19,17
Vertigo,L,8,16
Overpass,L,7,16
Vertigo,L,10,16
Inferno,W,16,9
Overpass,W,16,10
Overpass,L,11,16
Nuke,L,8,16
Inferno,W,19,16
Dust2,W,16,6
Inferno,L,11,16
Nuke,W,19,16
Inferno,W,16,12
Dust2,L,14,16
Overpass,L,12,16
Inferno,L,12,16
Vertigo,W,25,22
Inferno,W,16,10
Nuke,W,16,13
Dust2,W,16,9
Dust2,L,8,16
Overpass,L,8,16
Overpass,W,16,12
Vertigo,W,16,10
Nuke,W,16,14
Inferno,W,16,3
Dust2,L,16,19
Inferno,W,16,13
Nuke,W,16,7
Ancient,W,16,12
Vertigo,L,11,16
Inferno,W,19,17
Nuke,W,16,7
Dust2,W,16,11
Inferno,L,11,16
Ancient,W,16,12
Vertigo,L,16,19
Ancient,L,9,16
Inferno,W,16,11
Ancient,W,16,14
Vertigo,L,10,16
Nuke,W,16,11
Overpass,L,13,16
Dust2,L,6,16
Inferno,W,16,13
Nuke,W,19,17
Vertigo,W,28,26
Inferno,L,13,16
Inferno,W,16,7
Vertigo,W,16,2
Inferno,W,16,11
Vertigo,W,16,2
Overpass,L,13,16
Inferno,L,1,16
Nuke,L,13,16
Inferno,W,19,16
Nuke,W,19,17
Inferno,W,19,15
Nuke,L,8,16
Dust2,W,16,7
Nuke,W,16,10
Vertigo,W,16,10
Dust2,W,19,16
Inferno,W,28,25
