Map,MatchStatus,Team A score,Team B score
Inferno,L,13,16
Mirage,L,12,16
Nuke,W,16,2
Overpass,L,4,16
Nuke,L,8,16
Mirage,W,16,13
Inferno,W,16,7
Nuke,W,16,11
Mirage,L,8,16
Inferno,L,11,16
Nuke,W,16,11
Ancient,W,16,12
Vertigo,W,16,14
Mirage,W,16,9
Nuke,W,16,8
Mirage,L,7,16
Inferno,L,14,16
Mirage,W,16,10
Ancient,W,16,9
Nuke,L,9,16
Inferno,L,12,16
Vertigo,L,14,16
Ancient,W,16,12
Overpass,W,19,16
Inferno,L,17,19
Overpass,L,14,16
Ancient,W,16,8
Mirage,W,16,11
Nuke,W,16,11
Vertigo,W,16,11
Vertigo,W,19,17
Ancient,W,16,13
Vertigo,W,16,10
Mirage,W,16,3
Inferno,W,16,13
Vertigo,W,16,11
Vertigo,L,7,16
Overpass,W,16,4
Nuke,L,9,16
Inferno,W,16,6
Ancient,W,16,11
Mirage,L,13,16
Dust2,L,11,16
Nuke,W,16,13
Inferno,L,11,16
Nuke,L,5,16
Inferno,W,16,12
Ancient,W,16,4
Mirage,L,12,16
Ancient,W,16,10
Vertigo,W,16,3
Inferno,W,16,13
Ancient,W,16,11
Nuke,W,16,12
Dust2,W,16,6
Mirage,L,8,16
Inferno,L,10,16
Nuke,W,16,9
Mirage,L,11,16
Vertigo,W,19,16
Inferno,L,10,16
Mirage,W,19,17
Nuke,W,16,12
Mirage,L,10,16
Dust2,L,13,16
Ancient,L,6,16
Vertigo,L,11,16
Ancient,W,16,9
Nuke,W,16,12
Nuke,L,10,16
Inferno,W,19,17
Vertigo,L,19,22
Ancient,W,16,6
Vertigo,W,16,14
Mirage,L,14,16
Inferno,L,10,16
Nuke,W,16,7
Nuke,W,16,8
Nuke,L,10,16
Ancient,L,6,16
Overpass,L,16,19
Nuke,L,8,16
Dust2,L,13,16
Nuke,W,16,13
Ancient,W,16,11
Mirage,L,8,16
Nuke,W,16,10
Dust2,L,12,16
Vertigo,L,18,22
Inferno,L,3,16
Ancient,W,16,9
Vertigo,W,16,10
Mirage,W,16,6
Inferno,L,9,16
Inferno,L,12,16
Nuke,W,16,12
Inferno,W,16,12
Dust2,L,10,16
Vertigo,W,16,6
Inferno,W,16,10
Mirage,L,14,16
Nuke,L,11,16
Nuke,L,11,16
Inferno,W,16,6
Nuke,W,16,8
Inferno,W,22,18
Vertigo,W,19,16
Dust2,W,16,8
Vertigo,L,2,4
Vertigo,W,10,6
Mirage,L,10,16
Nuke,L,8,16
Mirage,W,16,10
Nuke,L,12,16
Mirage,W,16,10
Inferno,L,8,16
Vertigo,W,16,6
Ancient,L,12,16
Mirage,W,16,12
Dust2,L,7,16
Nuke,W,16,12
Nuke,W,19,16
Mirage,W,16,10
Nuke,W,16,11
Inferno,W,16,8
Mirage,L,9,16
Ancient,L,9,16
Inferno,L,8,16
Ancient,W,16,7
Overpass,L,14,16
Inferno,L,25,28
Dust2,W,16,12
Nuke,L,9,16
Mirage,L,12,16
Vertigo,L,3,16
Inferno,W,16,14
Inferno,W,16,8
Nuke,W,16,12
Ancient,L,11,16
Mirage,L,8,16
Nuke,W,16,7
Vertigo,L,12,16
Nuke,L,14,16
Mirage,W,19,16
Mirage,W,16,8
Ancient,W,16,6
Vertigo,L,3,16
Ancient,W,19,16
Mirage,W,16,4
Overpass,L,12,16
Ancient,L,7,16
Inferno,W,16,9
Nuke,W,16,6
Overpass,L,13,16
Nuke,W,16,13
Inferno,W,16,10
Overpass,W,16,12
Nuke,W,19,17
Nuke,W,16,11
Mirage,W,16,5
Overpass,W,16,4
Inferno,W,16,8
Overpass,W,16,8
Nuke,W,16,10
Mirage,L,12,16
Vertigo,L,10,16
Overpass,W,16,14
Vertigo,W,16,6
Overpass,W,19,17
Nuke,W,16,5
Mirage,L,7,16
Overpass,L,14,16
Nuke,L,13,16
Vertigo,L,13,16
Mirage,W,16,12
Dust2,L,10,16
Nuke,L,8,16
Train,W,16,11
Nuke,W,16,11
Vertigo,W,19,16
Train,W,16,8
Inferno,W,16,12
Vertigo,W,16,7
